rmscurrent,rmsvoltage,activepower,reactivepower,apparentpower,powerfactor,frequency,temperature
0.09,235.91,10.97,0.80,21.33,0.51,49.98,35.79
0.09,235.83,11.32,0.80,22.04,0.52,49.98,34.93
0.09,235.56,10.54,0.79,20.93,0.50,49.98,35.22
0.09,235.61,11.17,0.78,21.56,0.51,49.99,35.50
0.09,235.56,11.09,0.92,22.28,0.52,49.99,35.79
0.09,235.75,10.33,0.77,20.38,0.51,50.00,35.50
0.09,235.67,10.87,0.79,21.32,0.51,50.00,35.22
0.09,235.60,11.38,0.80,22.15,0.51,50.00,34.65
0.09,235.55,10.27,0.87,20.58,0.50,50.00,35.79
0.09,235.41,10.79,0.80,21.07,0.51,50.01,35.22
0.09,235.68,11.34,0.79,22.01,0.51,50.01,34.65
0.09,235.66,10.36,0.83,20.45,0.51,50.01,34.93
0.09,235.83,10.69,0.91,21.31,0.51,50.01,35.79
0.09,235.93,11.23,0.80,21.92,0.51,50.01,34.93
0.09,236.03,10.51,0.80,20.86,0.51,50.02,35.50
0.09,235.99,10.29,0.82,20.37,0.50,50.02,35.22
0.09,235.89,11.18,0.81,21.83,0.51,50.02,35.50
0.09,236.26,10.66,0.81,21.05,0.51,50.03,35.22
0.09,235.91,11.16,0.84,21.90,0.50,50.04,35.22
0.09,235.97,11.18,0.83,21.84,0.52,50.04,34.93
0.09,235.88,11.09,0.91,21.99,0.51,50.04,35.22
0.09,235.97,11.34,0.82,21.98,0.51,50.05,34.93
0.09,235.88,11.13,0.95,22.22,0.51,50.05,34.93
0.09,236.04,11.10,0.85,21.83,0.50,50.06,35.22
0.09,236.04,11.04,0.82,21.59,0.51,50.06,35.50
0.09,235.64,11.05,1.00,22.30,0.49,50.07,35.22
0.09,235.71,11.08,0.84,21.60,0.50,50.07,35.22
0.09,235.65,10.96,0.84,21.41,0.51,50.07,35.50
0.10,235.48,11.27,0.98,22.42,0.51,50.07,34.93
0.09,235.61,11.15,0.80,21.55,0.51,50.07,35.50
0.09,235.75,10.93,0.84,21.36,0.51,50.06,35.79
0.09,235.65,10.95,0.85,21.51,0.51,50.06,35.50
0.09,235.93,11.01,0.81,21.51,0.51,50.06,35.22
0.09,235.83,10.89,0.81,21.22,0.51,50.06,35.50
0.09,235.93,10.85,0.82,21.26,0.51,50.06,35.50
0.09,235.87,10.92,0.84,21.31,0.51,50.05,35.50
0.09,235.85,11.08,0.84,21.49,0.51,50.05,35.22
0.09,235.78,10.86,0.83,21.21,0.51,50.05,35.22
0.09,235.80,10.78,0.84,21.06,0.51,50.05,35.50
0.09,235.75,10.76,0.86,21.23,0.51,50.05,35.50
0.09,235.79,10.83,0.85,21.24,0.51,50.06,35.50
0.09,235.82,10.79,0.84,21.10,0.51,50.06,35.22
0.09,235.77,10.72,0.85,21.01,0.50,50.05,34.93
0.09,235.73,10.70,0.85,20.99,0.51,50.05,35.50
0.09,235.64,10.67,0.85,20.92,0.51,50.05,34.93
0.09,235.52,10.66,0.88,20.94,0.51,50.04,34.93
0.09,235.58,10.63,0.86,20.84,0.51,50.03,35.50
0.09,235.54,10.64,0.95,21.23,0.50,50.03,35.50
0.09,235.52,10.60,0.93,20.92,0.51,50.03,35.50
